Rank,Country,elections,seats_lower_house,lower_women,lower_percentage_women,Elections_u_h,seats_upper_house,upper_women,upper_percentage_woen
1,Rwanda,9 2008,80,45,56.30%,9 2011,26,10,38.50%
2,Andorra,4 2011,28,14,50.00%,---,---,---,---
3,Cuba,1 2008,586,265,45.20%,---,---,---,---
4,Sweden,9 2010,349,156,44.70%,---,---,---,---
5,Seychelles,9 2011,32,14,43.80%,---,---,---,---
6,Finland,4 2011,200,85,42.50%,---,---,---,---
7,South Africa 1,4 2009,400,169,42.30%,4 2009,53,17,32.10%
8,Netherlands,6 2010,150,61,40.70%,5 2011,75,27,36.00%
9,Nicaragua,11 2011,92,37,40.20%,---,---,---,---
10,Iceland,4 2009,63,25,39.70%,---,---,---,---
11,Norway,9 2009,169,67,39.60%,---,---,---,---
12,Mozambique,10 2009,250,98,39.20%,---,---,---,---
13,Denmark,9 2011,179,70,39.10%,---,---,---,---
14,Costa Rica,2 2010,57,22,38.60%,---,---,---,---
15,Angola,9 2008,220,84,38.20%,---,---,---,---
16,Belgium,6 2010,150,57,38.00%,6 2010,71,29,40.80%
17,Argentina,10 2011,257,96,37.40%,10 2011,72,28,38.90%
18,Spain,11 2011,350,126,36.00%,11 2011,263,88,33.50%
"""",United Republic of Tanzania,10 2010,350,126,36.00%,---,---,---,---
19,Uganda,2 2011,386,135,35.00%,---,---,---,---
20,Nepal,4 2008,594,197,33.20%,---,---,---,---
21,Germany,9 2009,620,204,32.90%,N.A.,69,19,27.50%
22,Ecuador,4 2009,124,40,32.30%,---,---,---,---
"""",Timor-Leste,6 2007,65,21,32.30%,---,---,---,---
23,New Zealand,11 2011,121,39,32.20%,---,---,---,---
"""",Slovenia,12 2011,90,29,32.20%,11 2007,40,1,2.50%
24,Belarus,9 2008,110,35,31.80%,7 2008,58,19,32.80%
25,Guyana,11 2011,67,21,31.30%,---,---,---,---
26,The F.Y.R. of Macedonia,6 2011,123,38,30.90%,---,---,---,---
27,Burundi,7 2010,105,32,30.50%,7 2010,41,19,46.30%
28,Portugal,6 2011,230,66,28.70%,---,---,---,---
29,Trinidad and Tobago,5 2010,42,12,28.60%,6 2010,31,8,25.80%
30,Switzerland,10 2011,200,57,28.50%,10 2011,46,9,19.60%
31,Austria,9 2008,183,51,27.90%,N.A.,61,19,31.10%
32,Ethiopia,5 2010,547,152,27.80%,5 2010,135,22,16.30%
33,Afghanistan,9 2010,249,69,27.70%,1 2011,102,28,27.50%
34,Tunisia,10 2011,217,58,26.70%,---,---,---,---
35,South Sudan,8 2011,332,88,26.50%,8 2011,50,5,10.00%
36,Mexico,7 2009,500,131,26.20%,7 2006,128,29,22.70%
37,Bolivia,12 2009,130,33,25.40%,12 2009,36,17,47.20%
38,Iraq,3 2010,325,82,25.20%,---,---,---,---
39,Lao People's Democratic Republic,4 2011,132,33,25.00%,---,---,---,---
"""",Luxembourg,6 2009,60,15,25.00%,---,---,---,---
40,Canada,5 2011,307,76,24.80%,N.A.,98,36,36.70%
41,Australia,8 2010,150,37,24.70%,8 2010,76,29,38.20%
42,Sudan,4 2010,354,87,24.60%,5 2010,28,5,17.90%
